id,hotelId,notificationId,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
33,3,33,'2023-02-18 03:00:00.366877+09:00','2023-02-18 03:00:00.366877+09:00',None,None,None,None,None
34,3,34,'2023-02-19 03:00:00.404533+09:00','2023-02-19 03:00:00.404533+09:00',None,None,None,None,None
35,3,35,'2023-02-20 03:00:00.415457+09:00','2023-02-20 03:00:00.415457+09:00',None,None,None,None,None
36,3,36,'2023-02-21 03:00:00.378114+09:00','2023-02-21 03:00:00.378114+09:00',None,None,None,None,None
37,3,37,'2023-02-22 03:00:00.405400+09:00','2023-02-22 03:00:00.405400+09:00',None,None,None,None,None
38,3,38,'2023-02-23 03:00:00.385364+09:00','2023-02-23 03:00:00.385364+09:00',None,None,None,None,None
39,3,39,'2023-02-24 03:00:00.352263+09:00','2023-02-24 03:00:00.352263+09:00',None,None,None,None,None
40,3,40,'2023-02-25 03:00:00.430614+09:00','2023-02-25 03:00:00.430614+09:00',None,None,None,None,None
41,3,41,'2023-02-26 03:00:00.366632+09:00','2023-02-26 03:00:00.366632+09:00',None,None,None,None,None
42,3,42,'2023-02-27 03:00:00.449210+09:00','2023-02-27 03:00:00.449210+09:00',None,None,None,None,None
43,3,43,'2023-02-28 03:00:00.364164+09:00','2023-02-28 03:00:00.364164+09:00',None,None,None,None,None
